0,requesting accuracy
1,defining variable and assign value
2,classify data frame using an algorithm
3,define target class
4,import Data Manipulation Library
5,import multidimensional array operator
6,drop attributes
7,terminate classification
8,use programming language
9,read source file
10,import machine learning library
11,defining test ratio
12,defining train ratio
13,build model
14,apply cross validation
15,delete model
